X,Y,ExtractDate,Week,TotalweeklyVaccines,Male,Female,NA,Moderna,Pfizer,Janssen,AstraZeneca,Partial_Age0to9,Partial_Age10to19,Partial_Age20to29,Partial_Age30to39,Partial_Age40to49,Partial_Age50to59,Partial_Age60to69,Partial_Age70to79,Partial_Age80_,Partial_NA,ParCum_Age0to9,ParCum_Age10to19,ParCum_Age20to29,ParCum_Age30to39,ParCum_Age40to49,ParCum_Age50to59,ParCum_Age60to69,ParCum_Age70to79,ParCum_80_,ParCum_NA,ParPer_Age0to9,ParPer_Age10to19,ParPer_Age20to29,ParPer_Age30to39,ParPer_Age40to49,ParPer_Age50to59,ParPer_Age60to69,ParPer_Age70to79,ParPer_80_,ParPer_NA,Fully_Age0to9,Fully_Age10to19,Fully_Age20to29,Fully_Age30to39,Fully_Age40to49,Fully_Age50to59,Fully_Age60to69,Fully_Age70to79,Fully_Age80_,Fully_NA,FullyCum_Age0to9,FullyCum_Age10to19,FullyCum_Age20to29,FullyCum_Age30to39,FullyCum_Age40to49,FullyCum_Age50to59,FullyCum_Age60to69,FullyCum_Age70to79,FullyCum_80_,FullyCum_NA,FullyPer_Age0to9,FullyPer_Age10to19,FullyPer_Age20to29,FullyPer_Age30to39,FullyPer_Age40to49,FullyPer_Age50to59,FullyPer_Age60to69,FullyPer_Age70to79,FullyPer_80_,FullyPer_NA,ObjectId
-856336.314876336,7036491.65084485,1668988800000,2020-W53,4025,1287,2738,0,6,4011,0,8,1,3,729,1134,1000,793,313,24,22,0,1,3,729,1134,1000,793,313,24,22,0,2.08745170158625e-06,5.42764407681202e-06,0.00117881623564682,0.0016492218552437,0.00127524994899,0.00124839817762203,0.000615990159901599,6.85888697411628e-05,0.000120011346527308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
-856336.314876336,7036491.65084485,1668988800000,2021-W01,44110,11804,32306,0,22,44048,1,39,1,40,6287,10236,12027,9715,4501,389,855,2,2,43,7016,11370,13027,10508,4814,413,877,2,4.17490340317251e-06,7.77962317676389e-05,0.0113450956231798,0.0165358487602476,0.0166126810854928,0.0165424565579474,0.0094740467404674,0.00118030013346251,0.00478408867747496,Inf,0,3,11,17,9,5,3,3,7,0,0,3,11,17,9,5,3,3,7,0,0,5.42764407681202e-06,1.77873506064678e-05,2.47237844260519e-05,1.147724954091e-05,7.87136303670889e-06,5.90405904059041e-06,8.57360871764534e-06,3.81854284405071e-05,,2
-856336.314876336,7036491.65084485,1668988800000,2021-W02,53012,14010,39002,0,1939,51007,1,65,3,85,5370,9244,12245,11355,6772,2160,5730,7,5,128,12386,20614,25272,21863,11586,2573,6607,9,1.04372585079313e-05,0.000231579480610646,0.0200285567828827,0.0299797701269784,0.0322281167108753,0.0344183220143133,0.0228014760147601,0.00735329841016716,0.0360415893866329,Inf,1,0,8,16,4,7,3,1,2,0,1,3,19,33,13,12,6,4,9,0,2.08745170158625e-06,5.42764407681202e-06,3.07236055929898e-05,4.79932285917478e-05,1.657824933687e-05,1.88912712881013e-05,1.18081180811808e-05,1.14314782901938e-05,4.90955508520806e-05,,3
-856336.314876336,7036491.65084485,1668988800000,2021-W03,50085,14920,35164,1,44,49915,1,125,0,152,4129,6608,7786,7809,5456,3602,11140,9,5,280,16515,27222,33058,29672,17042,6175,17747,18,1.04372585079313e-05,0.000506580113835788,0.0267052813878014,0.0395900505674109,0.0421572128137115,0.0467118168050452,0.0335389913899139,0.0176473446104867,0.0968109712190971,Inf,0,1,580,944,844,716,283,16,11,0,1,4,599,977,857,728,289,20,20,0,2.08745170158625e-06,7.23685876908269e-06,0.000968602092115838,0.00142089043436781,0.00109288920628443,0.00114607045814481,0.000568757687576876,5.7157391450969e-05,0.000109101224115735,,4
-856336.314876336,7036491.65084485,1668988800000,2021-W04,51784,15010,36773,1,31,51574,0,179,0,7,1050,1417,1738,1535,1530,1170,570,1,5,287,17565,28639,34796,31207,18572,7345,18317,19,1.04372585079313e-05,0.000519244616681683,0.0284031648547825,0.0416508507163353,0.0443735972250561,0.0491283252573149,0.036550061500615,0.0209910520103684,0.0999203561063955,Inf,1,36,6031,9821,11826,9505,4415,380,749,2,2,40,6630,10798,12683,10233,4704,400,769,2,4.17490340317251e-06,7.23685876908269e-05,0.0107209213200801,0.015703966131324,0.0161739951030402,0.0161095315909284,0.00925756457564576,0.00114314782901938,0.00419494206724999,Inf,5
-856336.314876336,7036491.65084485,1668988800000,2021-W05,56725,14756,41968,1,56,56401,2,264,0,19,1444,1939,2162,1912,1149,348,327,1,5,306,19009,30578,36958,33119,19721,7693,18644,20,1.04372585079313e-05,0.000553619695834826,0.0307381588798497,0.0444708164811656,0.0471306876147725,0.0521383344825523,0.0388113161131611,0.0219855906216152,0.101704161120688,Inf,0,80,4853,8364,10948,10269,6046,1843,5017,6,2,120,11483,19162,23631,20502,10750,2243,5786,8,4.17490340317251e-06,0.000217105763072481,0.0185683770012791,0.0278680680689415,0.0301354315445827,0.0322757369957211,0.0211562115621156,0.00641020145122617,0.031562984136682,Inf,6
-856336.314876336,7036491.65084485,1668988800000,2021-W06,32674,10054,22620,0,1998,15488,5,15183,0,30,3061,4501,5812,5561,3623,1570,2300,6,5,336,22070,35079,42770,38680,23344,9263,20944,26,1.04372585079313e-05,0.000607896136602946,0.0356878934440677,0.0510168019930279,0.0545424403183024,0.06089286445198,0.0459414514145141,0.0264724458505163,0.114250801893997,Inf,0,6,726,1206,1647,1309,724,241,356,0,2,126,12209,20368,25278,21811,11474,2484,6142,8,4.17490340317251e-06,0.000227961051226105,0.0197423421413059,0.0296220024229309,0.0322357682105693,0.0343364598387315,0.0225810578105781,0.00709894801821034,0.0335049859259421,Inf,7
-856336.314876336,7036491.65084485,1668988800000,2021-W07,86936,25950,60986,0,1211,62996,4,22724,0,69,4561,5390,6365,6352,3985,914,16227,0,5,405,26631,40469,49135,45032,27329,10177,37171,26,1.04372585079313e-05,0.000732731950369623,0.0430631758182586,0.0588556959963467,0.0626594062436237,0.0708926440538149,0.0537840098400984,0.0290845386398256,0.202770080080299,Inf,0,138,3864,6182,7414,7375,5167,3170,9760,7,2,264,16073,26550,32692,29186,16641,5654,15902,15,4.17490340317251e-06,0.000477632678759458,0.0259905532997961,0.0386127339124516,0.0416904713323812,0.0459467203178771,0.032749815498155,0.0161583945631889,0.0867463832944206,Inf,8
-856336.314876336,7036491.65084485,1668988800000,2021-W08,89185,28997,60187,1,4559,51566,19,33040,0,133,6066,7239,9145,8596,5701,3859,37869,0,5,538,32697,47708,58280,53628,33030,14036,75040,26,1.04372585079313e-05,0.000973357504441622,0.0528720911617889,0.0693836651410637,0.0743215670271373,0.0844250913865249,0.0650036900369004,0.04011305732029,0.409347792882236,Inf,0,16,1177,1656,1977,1918,1788,1178,886,0,2,280,17250,28206,34669,31104,18429,6832,16788,15,4.17490340317251e-06,0.000506580113835788,0.0278937998146881,0.0410211213836012,0.0442116404815344,0.0489661751787587,0.0362686346863469,0.019524964919651,0.0915795675227476,Inf,9
-856336.314876336,7036491.65084485,1668988800000,2021-W09,89047,32109,56936,2,7584,53065,19,28379,0,103,4787,5788,7522,6992,5372,7868,42376,0,5,641,37484,53496,65802,60620,38402,21904,117416,26,1.04372585079313e-05,0.0011597066177455,0.060612822739349,0.0778013865680042,0.0839139971434401,0.0954324054570586,0.0755758917589176,0.0625987751171012,0.640511466538655,Inf,0,8,1182,1621,1844,1683,991,319,608,2,2,288,18432,29827,36513,32787,19420,7151,17396,17,4.17490340317251e-06,0.000521053831373954,0.0298051314889468,0.0433786069456382,0.0465632013874719,0.0516156759769149,0.0382189421894219,0.020436625313294,0.0948962447358659,Inf,10
