X,Y,VaccinationDate,VaccineText,Dose1,Dose2,SingleDose,Dose1Cum,Dose2Cum,SingleDoseCum,PartiallyVacc,FullyVacc,PartialPercent,FullyPercent,ObjectId
-856336.314876336,7036491.65084485,2021/04/07 23:00:00+00,Thu 08 Apr 2021,20201,10574,17,755616,322893,207,755823,323100,15.7511723929821,6.73332751209279,1
-856336.314876336,7036491.65084485,2021/07/17 23:00:00+00,Sun 18 Jul 2021,16872,15826,1931,2858798,2362758,168455,3027253,2531213,63.0872358742354,52.7498797024665,2
-856336.314876336,7036491.65084485,2021/10/26 23:00:00+00,Wed 27 Oct 2021,1568,1433,6,3615135,3552538,240836,3855971,3793374,80.3575228106839,79.0530161493577,3
-856336.314876336,7036491.65084485,2021/04/08 23:00:00+00,Fri 09 Apr 2021,20687,9170,16,776303,332063,223,776526,332286,16.1826180119324,6.92476157747838,4
-856336.314876336,7036491.65084485,2021/04/09 23:00:00+00,Sat 10 Apr 2021,11187,4185,12,787490,336248,235,787725,336483,16.4160025207778,7.0122260639168,5
-856336.314876336,7036491.65084485,2021/07/18 23:00:00+00,Mon 19 Jul 2021,24909,18455,6253,2883707,2381213,174708,3058415,2555921,63.7366445772123,53.2647885733077,6
-856336.314876336,7036491.65084485,2021/10/27 23:00:00+00,Thu 28 Oct 2021,2159,1701,5,3617294,3554239,240841,3858135,3795080,80.4026200583972,79.088568785494,7
-856336.314876336,7036491.65084485,2021/04/10 23:00:00+00,Sun 11 Apr 2021,2869,368,9,790359,336616,244,790603,336860,16.4759793594649,7.02008265466908,8
-856336.314876336,7036491.65084485,2021/07/19 23:00:00+00,Tue 20 Jul 2021,30601,18194,7699,2914308,2399407,182407,3096715,2581814,64.5348075104006,53.8043925636222,9
-856336.314876336,7036491.65084485,2021/04/11 23:00:00+00,Mon 12 Apr 2021,7788,2807,13,798147,339423,257,798404,339680,16.6385503527234,7.0788507870866,10
-856336.314876336,7036491.65084485,2021/10/28 23:00:00+00,Fri 29 Oct 2021,2145,1379,2,3619439,3555618,240843,3860282,3796461,80.4473630301349,79.117348498568,11
-856336.314876336,7036491.65084485,2021/07/20 23:00:00+00,Wed 21 Jul 2021,30371,19852,6894,2944679,2419259,189301,3133980,2608560,65.3114012886059,54.3617728720049,12
-856336.314876336,7036491.65084485,2021/04/12 23:00:00+00,Tue 13 Apr 2021,11528,8594,1,809675,348017,258,809933,348275,16.8788119834474,7.25796855238043,13
-856336.314876336,7036491.65084485,2021/10/29 23:00:00+00,Sat 30 Oct 2021,2020,1456,1,3621459,3557074,240844,3862303,3797918,80.4894801917008,79.1477120336504,14
-856336.314876336,7036491.65084485,2021/07/21 23:00:00+00,Thu 22 Jul 2021,33546,15944,6937,2978225,2435203,196238,3174463,2631441,66.1550574250097,54.8386074953543,15
-856336.314876336,7036491.65084485,2021/04/13 23:00:00+00,Wed 14 Apr 2021,20353,6599,2,830028,354616,260,830288,354876,17.3030053647803,7.39553182971663,16
-856336.314876336,7036491.65084485,2021/10/30 23:00:00+00,Sun 31 Oct 2021,1598,1320,0,3623057,3558394,240844,3863901,3799238,80.5227821334041,79.175220521165,17
-856336.314876336,7036491.65084485,2021/07/22 23:00:00+00,Fri 23 Jul 2021,27089,20850,5616,3005314,2456053,201854,3207168,2657907,66.8366218827101,55.3901526700217,18
-856336.314876336,7036491.65084485,2021/04/14 23:00:00+00,Thu 15 Apr 2021,27114,10820,1,857142,365436,261,857403,365697,17.868075545809,7.62103890804642,19
-856336.314876336,7036491.65084485,2021/11/01 00:00:00+00,Mon 01 Nov 2021,291,297,2,3623348,3558691,240846,3864194,3799537,80.5288881840418,79.1814516103823,20
